red,slug
dangerous,opener
made_of_wood,pintle
blue,lizard
yellow,frog
yellow,pistachio
yellow,echinocereus
black,lark
warm,can
warm,cummerbund
green,cherry
yellow,clarinet
yellow,colocasia
dangerous,fork
yellow,guava
blue,cricket
yellow,carrot
made_of_wood,fuselage
round,dresser
yellow,herb
made_of_wood,breechblock
black,ladybird
black,supermarket
dangerous,blender
dangerous,plane
made_of_wood,trowel
yellow,lime
dangerous,iodine
green,carrot
hot,juice
dangerous,penicillin
square,door
made_of_wood,anchor
wings,ant
hot,beer
blue,millipede
hot,table
blue,barn
cold,summertime
juicy,pepperoni
yellow,orange
dangerous,file
green,aubergine
green,blueberry
yellow,pigweed
yellow,cherry
hot,cream
dangerous,mop
yellow,tomato
