relation,non-specific,n_pairs
pos,0.07979837457616315,1766
neg,0.021051536984769345,1186
all,0.0926704329645651,1021
some,0.06448263337971755,745
few,0.021051536984769345,1186
evidence,0.08202646545927073,894
no_evidence_pos,0.07195598565831099,502
no_evidence_neg,0.019915119966489564,1082
implied_category,0.10253060822788965,16
typical_of_concept,0.10860653641704729,4
affording_activity,0.04570511414288184,4
afforded_usual,0.04210276340522013,3
afforded_unusual,0.07075524435616692,20
variability_limited,0.051106132236620194,112
variability_open,0.05782973889963925,172
rare,0.04120687585895556,19
unusual,0.028850833840815236,81
impossible,0.018019919868065004,307
creative,0.014678985844570697,23
